0.921071,5.3931,1085.69,185.422
0.789139,3.9212,1267.2,255.024
0.779618,1.8518,1282.68,540.015
0.772802,1.4783,1293.99,676.453
0.770024,1.8345,1298.66,545.108
0.775855,1.8471,1288.9,541.389
0.772283,1.846,1294.86,541.712
0.771706,2.7719,1295.83,360.763
0.788418,2.7914,1268.36,358.243
0.76663,2.1844,1304.41,457.792
0.767693,1.8446,1302.6,542.123
0.761979,1.4643,1312.37,682.92
0.771111,1.8421,1296.83,542.859
0.76159,1.4877,1313.04,672.179
0.764329,1.8209,1308.34,549.179
0.762083,1.5911,1312.19,628.496
0.762437,1.8636,1311.58,536.596
0.760279,1.4539,1315.31,687.805
0.771262,1.8404,1296.58,543.36
0.770585,2.7621,1297.72,362.043
0.767504,1.8362,1302.92,544.603
0.762722,1.553,1311.09,643.915
0.77234,1.8396,1294.77,543.596
0.767457,1.5084,1303,662.954
0.768753,1.8364,1300.81,544.544
0.763845,1.4605,1309.17,684.697
0.770665,1.8297,1297.58,546.538
0.764699,1.4608,1307.7,684.556
0.773194,1.8415,1293.34,543.036
0.76871,2.2996,1300.88,434.858
0.769851,1.8566,1298.95,538.619
0.763811,1.4727,1309.22,679.025
0.771439,1.8274,1296.28,547.226
0.767372,1.4891,1303.15,671.547
0.769254,1.8453,1299.96,541.917
0.765144,1.4424,1306.94,693.289
0.775888,1.837,1288.85,544.366
0.76572,1.4715,1305.96,679.579
0.77228,1.88,1294.87,531.915
0.768676,2.2354,1300.94,447.347
0.769473,1.8439,1299.59,542.329
0.763195,1.4771,1310.28,677.002
0.767748,1.8523,1302.51,539.869
0.762662,1.4629,1311.2,683.574
0.768149,1.8415,1301.83,543.036
0.761819,1.4503,1312.65,689.513
0.76654,1.8582,1304.56,538.155
0.76122,1.4551,1313.68,687.238
0.768543,2.1251,1301.16,470.566
0.759925,2.2893,1315.92,436.815
0.767784,1.8527,1302.45,539.753
0.763573,1.5352,1309.63,651.381
0.773765,1.8521,1292.38,539.928
0.761996,1.5681,1312.34,637.714
0.764477,1.8598,1308.08,537.692
0.765416,1.4681,1306.48,681.153
0.771472,1.8523,1296.22,539.869
0.787295,1.7896,1270.17,558.784
0.800844,2.3278,1248.68,429.59
0.90463,3.6518,1105.42,273.838
0.872046,2.1523,1146.73,464.619
0.812221,3.8096,1231.19,262.495
0.780746,3.3071,1280.83,302.38
0.76989,1.4765,1298.89,677.277
0.762593,1.8554,1311.32,538.967
0.768502,1.5813,1301.23,632.391
0.783974,1.8774,1275.55,532.652
0.770737,1.4753,1297.46,677.828
0.779286,2.5305,1283.23,395.179
0.775212,2.8215,1289.97,354.421
0.778215,1.876,1284.99,533.049
0.767951,1.4724,1302.17,679.163
0.765846,1.8695,1305.74,534.902
0.753898,1.4527,1326.44,688.373
0.770178,1.8543,1298.4,539.287
0.765023,1.5346,1307.15,651.636
0.770159,1.8499,1298.43,540.57
0.758073,1.4577,1319.13,686.012
0.776793,2.4875,1287.34,402.01
0.77089,2.2784,1297.2,438.904
0.775705,1.8347,1289.15,545.048
0.765952,1.4541,1305.56,687.711
0.778695,1.8574,1284.2,538.387
0.771973,1.5464,1295.38,646.663
0.774374,1.8751,1291.37,533.305
0.766894,1.4836,1303.96,674.036
0.778084,1.8566,1285.21,538.619
0.768948,1.5098,1300.48,662.339
0.781532,1.9357,1279.54,516.609
0.773463,2.1804,1292.89,458.631
